tree_id,site_order,permit_notes,site_info,plant_type,plant_date
44922,195,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
48100,284,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48229,11,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
36850,4,Permit Number 39538,Sidewalk: Curb side : Cutout,Tree,1998-05-26 00:00:00 UTC
48139,249,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44589,117,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
48233,17,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
58779,1,Permit Number 18022,Sidewalk: Curb side : Cutout,Tree,1979-08-20 00:00:00 UTC
45962,220,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48258,106,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48062,221,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48162,272,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44711,85,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
35285,4,Permit Number 38758,Sidewalk: Curb side : Cutout,Tree,1998-02-17 00:00:00 UTC
44913,186,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44634,162,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44585,139,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
44859,19,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
46042,107,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
43485,5,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
48265,129,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
